ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Anglure (51260),/management/ville/anglure/ville-51009,5.4,5.8,6,6,5.3,5.1,6.3,6.5,6.6,7.2,7.7,7.6,7.9,7.5,6.9,6.4,5.9
Anglure-sous-Dun (71170),/management/ville/anglure-sous-dun/ville-71008,7,6.9,7.1,7.1,6.1,5.8,8.2,8.1,7.8,8.1,8,7.9,7.9,7.8,7.1,6.7,6.6
Angluzelles-et-Courcelles (51230),/management/ville/angluzelles-et-courcelles/ville-51010,5.4,5.8,6,6,5.3,5.1,6.3,6.5,6.6,7.2,7.7,7.6,7.9,7.5,6.9,6.4,5.9
Angoisse (24270),/management/ville/angoisse/ville-24008,7.1,7.5,7.6,7.6,6.9,6.6,8.1,8.4,8.8,9.7,10.1,10.2,10.3,10,9.3,8.7,8
Angomont (54540),/management/ville/angomont/ville-54017,10,10.5,11.9,11.9,10.5,10.4,13,12.4,12.3,13.4,14.4,14.5,14.1,13.5,12.4,11.9,10.9
Angos (65690),/management/ville/angos/ville-65010,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Angoulême (16000),/management/ville/angouleme/ville-16015,8.3,8.6,8.7,8.7,8.1,7.7,9.2,9.1,9.4,10.4,10.6,10.4,10.5,10.1,9.3,8.9,8.3
Angoulins (17690),/management/ville/angoulins/ville-17010,9.4,9.7,9.3,9.3,8.4,7.9,9.6,9.5,9.1,9.7,10.5,10.5,10.8,10.3,9.3,9.1,8.2
Angoumé (40990),/management/ville/angoume/ville-40003,8.1,8.3,8.2,8.2,7.5,7.2,8.8,8.9,9,9.8,10.5,10.5,10.6,10.5,9.9,9.5,8.7
Angous (64190),/management/ville/angous/ville-64025,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Angoustrine-Villeneuve-des-Escaldes (66760),/management/ville/angoustrine-villeneuve-des-escaldes/ville-66005,8.3,8.6,8.3,8.3,8.2,7.9,9.8,10.1,10.3,11.3,11.9,12,12.5,12.9,12.1,12.1,11.7
Angres (62143),/management/ville/angres/ville-62032,13.6,14.6,15.5,15.5,13.9,13.3,15.5,15.2,15.1,16.3,17,16.5,16.2,15.4,14.3,13.7,12.6
Angresse (40150),/management/ville/angresse/ville-40004,8.1,8.3,8.2,8.2,7.5,7.2,8.8,8.9,9,9.8,10.5,10.5,10.6,10.5,9.9,9.5,8.7
Angrie (49440),/management/ville/angrie/ville-49008,4.4,5.1,5.4,5.4,4.8,4.6,6.7,6.2,6.1,7,7.5,7.2,7.2,7.3,6.8,6.7,6.3
Anguilcourt-le-Sart (02800),/management/ville/anguilcourt-le-sart/ville-02017,11.2,11.6,12.1,12.1,10.8,10.6,13.3,13.3,13.5,15.1,15.5,15.3,15.4,15.3,14.3,14,13.1
Angy (60250),/management/ville/angy/ville-60015,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Anhaux (64220),/management/ville/anhaux/ville-64026,7.8,7.7,7.3,7.3,6.9,6.5,7.9,8,8,8.7,9.1,9,9,8.7,8.2,7.9,7.3
Anhiers (59194),/management/ville/anhiers/ville-59007,11,11.5,12.9,12.9,11.9,11.4,13.4,13.5,13.2,14.1,14.8,14.1,13.6,13,12.9,12.7,11.8
Aniane (34150),/management/ville/aniane/ville-34010,12.2,12,11.6,11.6,10.5,9.9,11.6,11.7,12,12.9,13.6,13.6,13.4,13,12.2,11.9,11.3
Aniche (59580),/management/ville/aniche/ville-59008,11,11.5,12.9,12.9,11.9,11.4,13.4,13.5,13.2,14.1,14.8,14.1,13.6,13,12.9,12.7,11.8
Anisy (14610),/management/ville/anisy/ville-14015,8.5,8.7,8.8,8.8,7.8,7,8.8,8.9,8.9,9.4,9.8,9.8,10,9.6,8.9,8.6,7.9
Anizy-le-Grand (02320),/management/ville/anizy-le-grand/ville-02018,10.6,10.6,11.1,11.1,9.9,9.3,11.6,11.9,12.1,13.3,13.8,13.6,13.3,13.3,12.6,11.9,11.3
Anjeux (70800),/management/ville/anjeux/ville-70023,6.4,6.9,7.9,7.9,7.1,6.7,8.9,8.3,8.1,9.2,9.9,9.9,9.6,8.8,8.2,7.8,7.6
Anjou (38150),/management/ville/anjou/ville-38009,7,7.1,7.3,7.3,6.6,6.1,7.9,7.9,7.8,8.3,8.8,8.8,8.9,8.7,8,7.9,7.4
Anjouin (36210),/management/ville/anjouin/ville-36004,9.8,10.5,8.7,8.7,7.7,7.1,8.9,8.7,8.8,9.1,10,10.2,10.3,10,9.1,8.8,8.2
Anjoutey (90170),/management/ville/anjoutey/ville-90003,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Anla (65370),/management/ville/anla/ville-65012,7.8,8.1,8.7,8.7,8.1,8.1,9.8,10,10.2,10.8,11,10.6,10.9,10.7,9.6,9.2,8.9
Anlezy (58270),/management/ville/anlezy/ville-58006,7.7,8.1,8.4,8.4,7.7,7.3,9.3,9.1,9.2,9.8,9.9,9.5,9.6,9.2,8.3,7.6,6.9
Anlhiac (24160),/management/ville/anlhiac/ville-24009,7.1,7.5,7.6,7.6,6.9,6.6,8.1,8.4,8.8,9.7,10.1,10.2,10.3,10,9.3,8.7,8
Annay (58450),/management/ville/annay/ville-58007,7.6,7.9,7.9,7.9,7.1,6.5,8.1,8.8,8.8,9.2,9.6,9.3,9.4,9.2,8.3,7.7,7.1
Annay (62880),/management/ville/annay/ville-62033,13.6,14.6,15.5,15.5,13.9,13.3,15.5,15.2,15.1,16.3,17,16.5,16.2,15.4,14.3,13.7,12.6
Annay-la-Côte (89200),/management/ville/annay-la-cote/ville-89009,6.9,7.7,7.1,7.1,5.6,5.6,7,7.3,7.5,8.1,8.6,8,8.5,8.6,7.6,7.4,7.1
Annay-sur-Serein (89310),/management/ville/annay-sur-serein/ville-89010,7.1,7.5,7.7,7.7,6.8,6.5,8.5,8.5,8.4,9.1,9.5,9.3,9.5,9.3,8.4,8,7.7
Annebault (14430),/management/ville/annebault/ville-14016,8.5,8.7,8.8,8.8,7.8,7,8.8,8.9,8.9,9.4,9.8,9.8,10,9.6,8.9,8.6,7.9
Annecy (74000),/management/ville/annecy/ville-74010,6.1,6.1,5.5,5.5,4.8,4.4,6.5,6.5,6.1,6.4,6.6,6.6,6.7,6.5,5.9,5.7,5.4
Annelles (08310),/management/ville/annelles/ville-08014,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Annemasse (74100),/management/ville/annemasse/ville-74012,5.1,5.4,5.3,5.3,4.9,4.8,7,7.1,6.6,7.1,7.4,7.6,7.9,7.7,7.2,7,6.8
Annéot (89200),/management/ville/anneot/ville-89011,6.9,7.7,7.1,7.1,5.6,5.6,7,7.3,7.5,8.1,8.6,8,8.5,8.6,7.6,7.4,7.1
Annepont (17350),/management/ville/annepont/ville-17011,8.1,8.5,8.9,8.9,8.1,7.6,9.4,9.8,9.7,10.1,10.4,10.5,10.8,10.4,9.7,9.3,8.7
Annequin (62149),/management/ville/annequin/ville-62034,10.2,10.7,11.4,11.4,10.4,9.7,11.4,11.3,11.2,12.1,12.7,12.5,12.5,11.9,11,10.7,10
Annesse-et-Beaulieu (24430),/management/ville/annesse-et-beaulieu/ville-24010,7.1,7.5,7.6,7.6,6.9,6.6,8.1,8.4,8.8,9.7,10.1,10.2,10.3,10,9.3,8.7,8
Annet-sur-Marne (77410),/management/ville/annet-sur-marne/ville-77005,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Anneux (59400),/management/ville/anneux/ville-59010,9,9.6,10.2,10.2,9.5,9.5,11.5,11.3,11.3,12.1,12.8,12.5,12.7,12.4,12.1,11.9,10.9
Anneville-Ambourville (76480),/management/ville/anneville-ambourville/ville-76020,8.8,9.3,9.1,9.1,8.1,7.5,9.4,9.5,9.5,10.2,10.8,10.7,10.7,10.6,9.9,9.4,8.9
Anneville-en-Saire (50760),/management/ville/anneville-en-saire/ville-50013,9,9.5,9.6,9.6,8.6,7.9,9.4,9.2,9.1,9.3,9.6,9.5,9.4,8.9,8,7.3,6.7
Annéville-la-Prairie (52310),/management/ville/anneville-la-prairie/ville-52011,6.4,7,7.2,7.2,6.1,5.9,7.8,7.2,6.9,7.3,7.7,7.5,7.6,7.4,6.6,6.3,5.7
Anneville-sur-Scie (76590),/management/ville/anneville-sur-scie/ville-76019,9.1,9.1,9.2,9.2,8.1,7.7,9.4,9.1,9.2,9.8,10.1,9.9,9.9,10,9.4,8.8,8.3
Anneyron (26140),/management/ville/anneyron/ville-26010,7,7.1,7.3,7.3,6.6,6.1,7.9,7.9,7.8,8.3,8.8,8.8,8.9,8.7,8,7.9,7.4
Annezay (17380),/management/ville/annezay/ville-17012,10.1,10.7,10.8,10.8,9.5,8.7,11,11,10.6,11.2,11.9,11.9,12,11.6,10.7,10.2,9.6
Annezin (62232),/management/ville/annezin/ville-62035,10.2,10.7,11.4,11.4,10.4,9.7,11.4,11.3,11.2,12.1,12.7,12.5,12.5,11.9,11,10.7,10
Annoire (39120),/management/ville/annoire/ville-39011,7.1,7.1,7.5,7.5,6.6,6.6,8.9,8.4,7.8,8.5,9.1,8.9,9,8.7,7.7,7.1,6.8
Annois (02480),/management/ville/annois/ville-02019,11.7,11.9,12.5,12.5,11.6,11.4,13.9,14,14.1,14.9,15.3,15.1,15.1,14.9,14.2,13.6,12.7
Annoisin-Chatelans (38460),/management/ville/annoisin-chatelans/ville-38010,7.6,7.9,7.7,7.7,7,6.3,8.2,8.4,8.2,8.8,9.2,9.2,9.2,8.9,8.3,8,7.5
Annoix (18340),/management/ville/annoix/ville-18006,7.4,8,8,8,7.1,6.4,7.9,8.5,8.6,9.1,9.8,9.7,10,9.9,9.2,8.8,8.3
Annonay (07100),/management/ville/annonay/ville-07010,7.9,7.8,8.1,8.1,7.2,6.8,8.6,8.5,8.2,9,9.3,9,9,9.5,8.6,8.2,7.7
Annonville (52230),/management/ville/annonville/ville-52012,9.2,9.9,10.1,10.1,9,8.6,10.8,10.1,10,11.2,12.1,11.9,11.9,11.3,10.3,9.8,8.8
Annot (04240),/management/ville/annot/ville-04008,8.1,8.1,7.9,7.9,7.2,6.6,8.2,8.3,8.5,9.3,10.1,10.5,10.8,10.6,10,9.7,9
Annouville-Vilmesnil (76110),/management/ville/annouville-vilmesnil/ville-76021,10.4,10.9,10.7,10.7,9.6,9,11.3,11.5,11.4,12,12.7,12.3,12.4,12.6,11.9,11.5,10.5
Annoux (89440),/management/ville/annoux/ville-89012,6.9,7.7,7.1,7.1,5.6,5.6,7,7.3,7.5,8.1,8.6,8,8.5,8.6,7.6,7.4,7.1
Annoville (50660),/management/ville/annoville/ville-50015,6.5,6.9,7.1,7.1,6.8,6.4,8,7.9,7.9,8.3,8.8,8.6,8.6,8.4,7.5,7.1,6.4
Annœullin (59112),/management/ville/annoeullin/ville-59011,9.5,10,10.3,10.3,9.4,8.7,10.1,10.4,10.3,10.8,11.2,11.1,11,10.5,10,9.8,8.9
Anor (59186),/management/ville/anor/ville-59012,12.7,12.9,13.1,13.1,12.1,11.4,14.5,14.9,14.4,15.1,15.7,15.2,15.4,15.3,15.2,15.1,13.8
Anos (64160),/management/ville/anos/ville-64027,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Anost (71550),/management/ville/anost/ville-71009,9,9.3,8.9,8.9,7.8,7.6,8.9,8.9,8.6,9,9.7,10,10.7,10.5,9.7,9.7,8.8
Anould (88650),/management/ville/anould/ville-88009,10,10.5,11.9,11.9,10.5,10.4,13,12.4,12.3,13.4,14.4,14.5,14.1,13.5,12.4,11.9,10.9
Anoux (54150),/management/ville/anoux/ville-54018,7.1,7.6,8,8,7.3,6.9,9.2,9.2,9,9.7,10.4,10.4,10.3,9.8,9.3,8.7,7.9
Anoye (64350),/management/ville/anoye/ville-64028,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Anquetierville (76490),/management/ville/anquetierville/ville-76022,10.4,10.9,10.7,10.7,9.6,9,11.3,11.5,11.4,12,12.7,12.3,12.4,12.6,11.9,11.5,10.5
Anrosey (52500),/management/ville/anrosey/ville-52013,6.4,7,7.2,7.2,6.1,5.9,7.8,7.2,6.9,7.3,7.7,7.5,7.6,7.4,6.6,6.3,5.7
Ansac-sur-Vienne (16500),/management/ville/ansac-sur-vienne/ville-16016,8.3,8.6,8.7,8.7,8.1,7.7,9.2,9.1,9.4,10.4,10.6,10.4,10.5,10.1,9.3,8.9,8.3
Ansacq (60250),/management/ville/ansacq/ville-60016,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Ansan (32270),/management/ville/ansan/ville-32002,5.6,5.8,6.3,6.3,5.7,5.5,6.6,6.9,7.2,7.7,8.5,8.4,8.8,8.4,7.6,7.1,6.7
Ansauville (54470),/management/ville/ansauville/ville-54019,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Ansauvillers (60120),/management/ville/ansauvillers/ville-60017,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Anse (69480),/management/ville/anse/ville-69009,5.8,6,5.6,5.6,5.1,4.8,6.4,6.2,6.1,6.6,7,6.9,7.1,6.9,6.4,6.1,5.8
Anse-Bertrand (97121),/management/ville/anse-bertrand/ville-97102,26.6,24.5,26.8,26.8,25.1,24.8,26.2,27.6,25.6,26.2,28.7,28.2,28.5,29.1,27.4,28.1,
Ansignan (66220),/management/ville/ansignan/ville-66006,12.2,12,11.5,11.5,10.7,10.2,12.1,12.4,12.8,14.2,15,15.4,15.8,15.6,14.8,14.6,14
Ansost (65140),/management/ville/ansost/ville-65013,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Ansouis (84240),/management/ville/ansouis/ville-84002,9.3,9.1,8.8,8.8,8.1,7.2,8.5,8.6,8.8,9.1,9.5,9.5,9.5,9.2,8.8,8.4,7.8
Anstaing (59152),/management/ville/anstaing/ville-59013,9.5,10,10.3,10.3,9.4,8.7,10.1,10.4,10.3,10.8,11.2,11.1,11,10.5,10,9.8,8.9
Antagnac (47700),/management/ville/antagnac/ville-47010,8,8.2,8.2,8.2,7.2,7.1,8.7,8.9,9,9.5,9.9,9.8,10.2,10.2,9.2,8.9,8.4
Anterrieux (15110),/management/ville/anterrieux/ville-15007,5.3,5.6,5.6,5.6,5.4,5,5.8,5.4,5.6,6.2,6.5,6.2,6,5.5,4.9,4.7,4.3
Anteuil (25340),/management/ville/anteuil/ville-25018,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Antezant-la-Chapelle (17400),/management/ville/antezant-la-chapelle/ville-17013,8.1,8.5,8.9,8.9,8.1,7.6,9.4,9.8,9.7,10.1,10.4,10.5,10.8,10.4,9.7,9.3,8.7
Anthé (47370),/management/ville/anthe/ville-47011,8.7,8.9,9.2,9.2,8.4,8.1,10,10.6,10.6,11,11.3,11.4,11.8,11.6,10.6,10.3,10
Anthelupt (54110),/management/ville/anthelupt/ville-54020,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Anthenay (51700),/management/ville/anthenay/ville-51012,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Antheny (08260),/management/ville/antheny/ville-08015,12.1,12.3,12.7,12.7,11.2,10.5,12.5,11.4,11.3,12.5,13.2,13,13.2,12.7,11.7,10.9,10.4
Antheuil (21360),/management/ville/antheuil/ville-21014,6.9,7.1,6.9,6.9,6.3,5.8,7.3,7.5,7.3,8,8.6,8.5,8.8,8.4,7.8,7.4,7
Antheuil-Portes (60162),/management/ville/antheuil-portes/ville-60019,7.9,8.3,8.4,8.4,7.4,7,9.2,9.2,9.2,10,10.4,10,10,9.8,9.3,9,8.3
Anthien (58800),/management/ville/anthien/ville-58008,6.6,6.7,7,7,6.5,6.1,7.2,7.5,7.7,8.4,8.6,8.5,8.7,8.5,7.7,7.2,7.2
Anthon (38280),/management/ville/anthon/ville-38011,7.6,7.9,7.7,7.7,7,6.3,8.2,8.4,8.2,8.8,9.2,9.2,9.2,8.9,8.3,8,7.5
Anthy-sur-Léman (74200),/management/ville/anthy-sur-leman/ville-74013,6.7,6.7,6.5,6.5,6,5.8,7.4,7.7,7.4,8,8.3,8.3,8.5,8.2,7.4,7.1,7
Antibes (06160),/management/ville/antibes/ville-06004,9.5,9.5,9,9,8.1,7,8.9,9.2,9.3,9.9,10.5,10.6,10.8,10.7,10.2,9.9,9.1
Antichan (65370),/management/ville/antichan/ville-65014,7.8,8.1,8.7,8.7,8.1,8.1,9.8,10,10.2,10.8,11,10.6,10.9,10.7,9.6,9.2,8.9
Antichan-de-Frontignes (31510),/management/ville/antichan-de-frontignes/ville-31009,7.8,8.1,8.7,8.7,8.1,8.1,9.8,10,10.2,10.8,11,10.6,10.9,10.7,9.6,9.2,8.9
Antignac (15240),/management/ville/antignac/ville-15008,5.7,5.7,5.7,5.7,5.1,4.7,5.3,5.1,5.3,5.7,5.8,5.5,5.7,5.8,5.2,5.2,4.6
Antignac (31110),/management/ville/antignac/ville-31010,7.8,8.1,8.7,8.7,8.1,8.1,9.8,10,10.2,10.8,11,10.6,10.9,10.7,9.6,9.2,8.9
Antigny (85120),/management/ville/antigny/ville-85005,6.9,7.2,7.1,7.1,6.2,5.9,8.1,8.2,8.2,9.2,9.9,9.7,9.6,9.2,8.4,7.9,7.5
Antigny (86310),/management/ville/antigny/ville-86006,6.3,6.7,7,7,6.3,5.9,7.2,7.4,7.3,7.6,7.8,7.8,8,7.9,7.1,6.9,6.5
Antigny-la-Ville (21230),/management/ville/antigny-la-ville/ville-21015,6.9,7.1,6.9,6.9,6.3,5.8,7.3,7.5,7.3,8,8.6,8.5,8.8,8.4,7.8,7.4,7
Antilly (57640),/management/ville/antilly/ville-57024,7.1,7.6,8,8,7.3,6.9,9.2,9.2,9,9.7,10.4,10.4,10.3,9.8,9.3,8.7,7.9
Antilly (60620),/management/ville/antilly/ville-60020,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
Antin (65220),/management/ville/antin/ville-65015,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Antisanti (20270),/management/ville/antisanti/ville-2B016,9.2,9.7,9.5,9.5,9.3,8.2,8.8,9.6,10.3,10.9,11.5,11.4,11.8,11.7,10.6,10.1,9
Antist (65200),/management/ville/antist/ville-65016,8.8,9.2,8.9,8.9,8.3,7.7,9.8,9.9,9.9,10.8,11.3,11.3,11.5,11.3,10.4,9.9,9.4
Antogny-le-Tillac (37800),/management/ville/antogny-le-tillac/ville-37005,7.2,7.6,7.4,7.4,6.6,6.2,7.7,7.9,7.7,8.4,9,9.1,9.3,9.2,8.5,8.2,7.8
Antoigné (49260),/management/ville/antoigne/ville-49009,8.2,8.6,8.9,8.9,8,7.4,9.3,9.3,9.2,9.9,10.4,10.6,10.8,10.7,9.8,9.4,8.9
Antoingt (63340),/management/ville/antoingt/ville-63005,7.6,7.7,8,8,7.5,7.3,8.8,8.4,8.4,8.9,8.8,9,9.4,9.2,8.5,8.3,7.8
Antonne-et-Trigonant (24420),/management/ville/antonne-et-trigonant/ville-24011,7.1,7.5,7.6,7.6,6.9,6.6,8.1,8.4,8.8,9.7,10.1,10.2,10.3,10,9.3,8.7,8
Antony (92160),/management/ville/antony/ville-92002,8.7,9.1,8.4,8.4,7.6,6.7,7.9,8.1,8,8.4,8.8,8.8,8.9,8.6,8,7.7,7.2
Antran (86100),/management/ville/antran/ville-86007,8,8.2,8.8,8.8,7.4,7.7,10,9.6,9.3,9.8,10,9.9,10,9.4,8.6,8.2,7.6
Antras (09800),/management/ville/antras/ville-09011,8.6,8.9,9.5,9.5,9.1,8.8,10.7,10.6,10.9,11.9,12.7,12.6,12.7,12.6,11.9,11.9,11.6
Antras (32360),/management/ville/antras/ville-32003,5.6,5.8,6.3,6.3,5.7,5.5,6.6,6.9,7.2,7.7,8.5,8.4,8.8,8.4,7.6,7.1,6.7
Antrenas (48100),/management/ville/antrenas/ville-48005,4.7,4.9,5,5,4.4,4,4.8,4.9,5.2,5.6,6.1,6,6.4,6.3,5.9,5.7,5.4
Antugnac (11190),/management/ville/antugnac/ville-11010,8.9,9.4,9.9,9.9,9.3,8.8,10.1,10.6,11.5,12.9,13.2,13.1,13.1,12,11.5,11.5,10.8
Antully (71400),/management/ville/antully/ville-71010,9,9.3,8.9,8.9,7.8,7.6,8.9,8.9,8.6,9,9.7,10,10.7,10.5,9.7,9.7,8.8
Anvéville (76560),/management/ville/anveville/ville-76023,8.8,9.3,9.1,9.1,8.1,7.5,9.4,9.5,9.5,10.2,10.8,10.7,10.7,10.6,9.9,9.4,8.9
Anvin (62134),/management/ville/anvin/ville-62036,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Any-Martin-Rieux (02500),/management/ville/any-martin-rieux/ville-02020,12.8,13.4,13.9,13.9,12.7,12.6,14.8,15.3,15.4,16.6,17.3,17.1,17,16.6,15.7,15.3,14.2
Anzat-le-Luguet (63420),/management/ville/anzat-le-luguet/ville-63006,7.6,7.7,8,8,7.5,7.3,8.8,8.4,8.4,8.9,8.8,9,9.4,9.2,8.5,8.3,7.8
Anzeling (57320),/management/ville/anzeling/ville-57025,7.1,7.6,8,8,7.3,6.9,9.2,9.2,9,9.7,10.4,10.4,10.3,9.8,9.3,8.7,7.9
Anzême (23000),/management/ville/anzeme/ville-23004,7,7.4,7.2,7.2,6.9,6.7,7.9,8.5,9,9.5,9.9,9.6,9.7,9.3,8.6,8.6,7.9
Anzex (47700),/management/ville/anzex/ville-47012,8,8.2,8.2,8.2,7.2,7.1,8.7,8.9,9,9.5,9.9,9.8,10.2,10.2,9.2,8.9,8.4
Anzin (59410),/management/ville/anzin/ville-59014,12.6,13.3,13,13,12.2,11.4,14.2,14.3,14,14.8,15.8,15.3,15.5,15.3,15.1,14.9,13.8
Anzin-Saint-Aubin (62223),/management/ville/anzin-saint-aubin/ville-62037,7,7.4,8,8,7.3,7,8.5,8.6,8.7,9.2,9.6,9.4,9.3,8.9,8.3,8,7.5
Anzy-le-Duc (71110),/management/ville/anzy-le-duc/ville-71011,7,6.9,7.1,7.1,6.1,5.8,8.2,8.1,7.8,8.1,8,7.9,7.9,7.8,7.1,6.7,6.6
Aoste (38490),/management/ville/aoste/ville-38012,7.1,7.4,7.1,7.1,6.7,6.2,8.6,8.5,8.3,8.9,9.1,9,9.4,9.2,8.4,7.9,7.2
Aougny (51170),/management/ville/aougny/ville-51013,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Aouste (08290),/management/ville/aouste/ville-08016,12.1,12.3,12.7,12.7,11.2,10.5,12.5,11.4,11.3,12.5,13.2,13,13.2,12.7,11.7,10.9,10.4
Aouste-sur-Sye (26400),/management/ville/aouste-sur-sye/ville-26011,8.4,8.6,8.2,8.2,7.4,7.1,8.6,8.7,8.7,9.5,9.9,9.8,10.1,9.9,9.3,9.1,8.3
Aouze (88170),/management/ville/aouze/ville-88010,7.6,8.3,7.7,7.7,7.1,6.6,8.4,8.7,9,9.8,10.6,10.1,10,9.3,8.4,7.9,7.3
Apach (57480),/management/ville/apach/ville-57026,7.6,8,8.6,8.6,7.8,7,9.4,9.1,8.9,9.6,10.4,10.3,10.3,9.9,9.2,8.7,7.8
Apatou (97317),/management/ville/apatou/ville-97360,36.8,37.9,41.2,41.2,32.5,31.6,30.5,29.2,30.1,31.9,33.5,33.3,34.1,35.5,35.5,32.9,
Apchat (63420),/management/ville/apchat/ville-63007,7.6,7.7,8,8,7.5,7.3,8.8,8.4,8.4,8.9,8.8,9,9.4,9.2,8.5,8.3,7.8
Apchon (15400),/management/ville/apchon/ville-15009,5.7,5.7,5.7,5.7,5.1,4.7,5.3,5.1,5.3,5.7,5.8,5.5,5.7,5.8,5.2,5.2,4.6
Apinac (42550),/management/ville/apinac/ville-42006,8.2,8.4,8.4,8.4,7.5,7,9.2,8.9,8.8,9.4,9.9,10,10.2,9.9,9.1,8.8,8.1
Appelle (81700),/management/ville/appelle/ville-81015,8.7,8.9,8.8,8.8,7.9,7.2,8.6,8.9,9,9.5,10.1,10.3,10.4,10,9.1,8.5,8
Appenai-sous-Bellême (61130),/management/ville/appenai-sous-belleme/ville-61005,6.4,7.2,6.8,6.8,5.7,6.3,8.3,7.6,7.5,8.3,8.9,9,8.9,8.9,8.5,8,7.7
Appenans (25250),/management/ville/appenans/ville-25019,8.4,9.4,10.6,10.6,9.3,8.5,11.3,11,10.3,11.4,12.4,12.3,12,11.3,10,9.6,9.2
Appenwihr (68280),/management/ville/appenwihr/ville-68008,5.5,6,6.5,6.5,6.1,5.7,7.7,7.7,7.4,7.9,8.3,8.2,8.3,8.1,7.4,6.8,6.2
Appeville (50500),/management/ville/appeville/ville-50016,9,9.5,9.6,9.6,8.6,7.9,9.4,9.2,9.1,9.3,9.6,9.5,9.4,8.9,8,7.3,6.7
Appeville-Annebault (27290),/management/ville/appeville-annebault/ville-27018,8.3,8.8,8.4,8.4,7.4,6.8,8.8,9.1,9.2,10.1,10.9,10.7,10.9,10.7,9.8,9.5,9.1
Appietto (20167),/management/ville/appietto/ville-2A017,8.2,8.6,7.7,7.7,7.1,6.8,7.6,8.1,8.4,8.7,8.9,8.8,9,8.5,8.3,7.7,7.2
Appilly (60400),/management/ville/appilly/ville-60021,7.9,8.3,8.4,8.4,7.4,7,9.2,9.2,9.2,10,10.4,10,10,9.8,9.3,9,8.3
Appoigny (89380),/management/ville/appoigny/ville-89013,7.1,7.5,7.7,7.7,6.8,6.5,8.5,8.5,8.4,9.1,9.5,9.3,9.5,9.3,8.4,8,7.7
Apprieu (38140),/management/ville/apprieu/ville-38013,7.2,7.4,7.1,7.1,6.4,6,7.7,7.5,7.3,7.7,8,8,8.3,8.2,7.6,7.3,6.8
Appy (09250),/management/ville/appy/ville-09012,8.2,8.5,9.5,9.5,8.8,8.3,10,10.3,10.5,11.4,12.1,12,12.1,11.7,11.1,10.7,10.1
Apremont (01100),/management/ville/apremont/ville-01011,7.1,7.4,7.5,7.5,7.1,7.4,10.7,9.2,8.4,9,9.3,9,9.4,9.5,8.5,7.8,7.4
Apremont (08250),/management/ville/apremont/ville-08017,8.3,8.7,9.1,9.1,8,7.5,9.3,9.1,9.3,10,10.8,10.9,10.9,10.5,9.7,9.3,8.9
Apremont (60300),/management/ville/apremont/ville-60022,9.2,9.7,9.4,9.4,8.5,7.8,9.3,9.7,9.8,10.4,10.9,11,11.1,10.8,10.2,9.8,9.4
