ville,lien,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ablis (78660),/management/ville/ablis/ville-78003,4.9,5.3,5.2,5.2,4.3,3.8,5,5.4,5.3,5.5,5.7,5.7,5.8,5.8,5.3,5.2,5.2
Ablon (14600),/management/ville/ablon/ville-14001,8.4,8.7,8.2,8.2,7.3,6.7,8.4,8.4,8.3,8.6,9.4,9.4,9.6,8.9,8.2,7.9,7.2
Ablon-sur-Seine (94480),/management/ville/ablon-sur-seine/ville-94001,8.9,9.5,9.1,9.1,8.2,7.1,8.5,8.8,9,9.6,10.3,10.6,10.7,10.6,10,9.7,9
Aboën (42380),/management/ville/aboen/ville-42001,8.2,8.4,8.4,8.4,7.5,7,9.2,8.9,8.8,9.4,9.9,10,10.2,9.9,9.1,8.8,8.1
Aboncourt (54115),/management/ville/aboncourt/ville-54003,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Aboncourt (57920),/management/ville/aboncourt/ville-57001,7.1,7.6,8,8,7.3,6.9,9.2,9.2,9,9.7,10.4,10.4,10.3,9.8,9.3,8.7,7.9
Aboncourt-Gesincourt (70500),/management/ville/aboncourt-gesincourt/ville-70002,6.4,6.9,7.9,7.9,7.1,6.7,8.9,8.3,8.1,9.2,9.9,9.9,9.6,8.8,8.2,7.8,7.6
Aboncourt-sur-Seille (57590),/management/ville/aboncourt-sur-seille/ville-57002,7.2,7.6,7.9,7.9,7.1,6.5,8.1,8.4,8.3,8.9,9.4,9.3,9.6,9.4,8.8,8.3,7.6
Abondance (74360),/management/ville/abondance/ville-74001,6.7,6.7,6.5,6.5,6,5.8,7.4,7.7,7.4,8,8.3,8.3,8.5,8.2,7.4,7.1,7
Abondant (28410),/management/ville/abondant/ville-28001,9.8,10.6,10.4,10.4,9.7,8.8,11,11.5,11.3,11.9,12.4,12.5,12.5,12.4,11.4,10.9,10.5
Abos (64360),/management/ville/abos/ville-64005,7.3,7.6,7.1,7.1,6.6,6.2,7.5,7.6,7.5,7.8,8.2,8.4,8.5,8.2,7.6,7.3,6.9
Abreschviller (57560),/management/ville/abreschviller/ville-57003,5.6,6.1,6.1,6.1,5.3,5.3,7.4,7.2,6.8,7.3,8.1,8.2,8.3,8,7.1,6.7,6.3
Abrest (03200),/management/ville/abrest/ville-03001,8.7,9.2,9.4,9.4,8.6,8.1,9.9,9.9,9.9,10.4,10.9,10.8,11.1,11,10.2,9.8,9.3
Abriès-Ristolas (05460),/management/ville/abries-ristolas/ville-05001,7.1,7.4,7.9,7.9,7.4,6.4,7.3,7.5,7.5,8.1,9,9.1,9.2,9.1,8.6,8.5,8.4
Abscon (59215),/management/ville/abscon/ville-59002,12.6,13.3,13,13,12.2,11.4,14.2,14.3,14,14.8,15.8,15.3,15.5,15.3,15.1,14.9,13.8
